, 15-01a, 15-02a, 15-03a, 15-04a, 15-05a, 15-06a, 15-07a, 15-08a, 15-09a, 15-10a, 15-11a, 15-12a, 15-13a, 15-14a, 15-15a, 15-16a, 15-17a, 15-18a, 15-19a, 15-20a, 15-21a, 15-22a, 15-23a, 15-24a, 15-25a, 15-26a, 15-27a, 15-28a, 15-29a, 15-30a, 15-31a, 15-32a, 15-33a, 15-34a, 15-36a, 15-01b, 15-02b, 15-03b, 15-04b, 15-05b, 15-06b, 15-07b, 15-08b, 15-09b, 15-10b, 15-11b, 15-12b, 15-13b, 15-14b, 15-15b, 15-16b, 15-17b, 15-18b, 15-19b, 15-20b, 15-21b, 15-22b, 15-23b, 15-24b, 15-25b, 15-26b, 15-27b, 15-28b, 15-29b, 15-30b, 15-31b, 15-32b, 15-33b, 15-34b, 15-36b, 15-01c, 15-02c, 15-03c, 15-04c, 15-05c, 15-06c, 15-07c, 15-08c, 15-09c, 15-10c, 15-11c, 15-12c, 15-13c, 15-14c, 15-15c, 15-16c, 15-17c, 15-18c, 15-19c, 15-20c, 15-21c, 15-22c, 15-23c, 15-24c, 15-25c, 15-26c, 15-27c, 15-28c, 15-29c, 15-30c, 15-31c, 15-32c, 15-33c, 15-34c, 15-36c
806_9.778_238.1512,600,600,44210.81,600,600,42635.82,31665.09,600,36373.46,43363.58,51337.21,600,45873.23,55537.95,600,42078.01,60567.29,51280.3,45624.69,47229.73,47323.46,47056.67,600,42214.8,40363.91,42952.25,42071.63,54643.11,32287.33,46649.06,600,600,53810.72,43609.88,37616.55,600,600,44210.81,600,600,42635.82,31665.09,600,36373.46,43363.58,51337.21,600,45873.23,55537.95,600,42078.01,60567.29,51280.3,45624.69,47229.73,47323.46,47056.67,600,42214.8,40363.91,42952.25,42071.63,54643.11,32287.33,46649.06,600,600,53810.72,43609.88,37616.55,600,600,44210.81,600,600,42635.82,31665.09,600,36373.46,43363.58,51337.21,600,45873.23,55537.95,600,42078.01,60567.29,51280.3,45624.69,47229.73,47323.46,47056.67,600,42214.8,40363.91,42952.25,42071.63,54643.11,32287.33,46649.06,600,600,53810.72,43609.88,37616.55
807_9.509_238.1543,600,600,600,81791.14,600,600,600,8931.795,88770.95,600,91802.61,95620.2,98086.7,600,90508.34,99364.37,94492.8,89129.02,98187.1,94001.56,108586.7,85384.33,6946.548,92613.63,600,91240.56,600,98061.35,600,91975.98,42689.39,87463.48,106919.9,93419.9,91345.31,600,600,600,81791.14,600,600,600,8931.795,88770.95,600,91802.61,95620.2,98086.7,600,90508.34,99364.37,94492.8,89129.02,98187.1,94001.56,108586.7,85384.33,6946.548,92613.63,600,91240.56,600,98061.35,600,91975.98,42689.39,87463.48,106919.9,93419.9,91345.31,600,600,600,81791.14,600,600,600,8931.795,88770.95,600,91802.61,95620.2,98086.7,600,90508.34,99364.37,94492.8,89129.02,98187.1,94001.56,108586.7,85384.33,6946.548,92613.63,600,91240.56,600,98061.35,600,91975.98,42689.39,87463.48,106919.9,93419.9,91345.31
808_3.195_239.1023,7762.174,600,171750.5,600,600,600,167238.8,75932.32,600,600,600,600,600,180044.1,600,600,600,600,150866.5,600,600,600,600,600,9919.361,600,600,600,600,600,600,600,37898.12,116130.3,73790.41,7762.174,600,171750.5,600,600,600,167238.8,75932.32,600,600,600,600,600,180044.1,600,600,600,600,150866.5,600,600,600,600,600,9919.361,600,600,600,600,600,600,600,37898.12,116130.3,73790.41,7762.174,600,171750.5,600,600,600,167238.8,75932.32,600,600,600,600,600,180044.1,600,600,600,600,150866.5,600,600,600,600,600,9919.361,600,600,600,600,600,600,600,37898.12,116130.3,73790.41
809_5.823_240.0611,321812.6,234425.5,255747.7,271363.9,271086.3,302542.2,215409,270952.8,309301.8,323049.1,330108.6,230679.6,247322.5,221165.8,227097.8,181973.8,213697.9,277062.3,200795.5,221621.9,324168.8,206150.1,219486,269772.4,277873.5,234132.6,262250.3,243931.5,234146.7,248915.7,247587,226996.9,213981.9,394779.5,267012.9,321812.6,234425.5,255747.7,271363.9,271086.3,302542.2,215409,270952.8,309301.8,323049.1,330108.6,230679.6,247322.5,221165.8,227097.8,181973.8,213697.9,277062.3,200795.5,221621.9,324168.8,206150.1,219486,269772.4,277873.5,234132.6,262250.3,243931.5,234146.7,248915.7,247587,226996.9,213981.9,394779.5,267012.9,321812.6,234425.5,255747.7,271363.9,271086.3,302542.2,215409,270952.8,309301.8,323049.1,330108.6,230679.6,247322.5,221165.8,227097.8,181973.8,213697.9,277062.3,200795.5,221621.9,324168.8,206150.1,219486,269772.4,277873.5,234132.6,262250.3,243931.5,234146.7,248915.7,247587,226996.9,213981.9,394779.5,267012.9
810_5.147_240.0996,600,600,600,600,600,600,600,32194.92,600,600,56210.27,74674.07,77540.27,66708.77,67116.06,600,98318.81,600,24313.55,600,600,31786.35,36930.75,600,99142.58,84990.95,22050.8,600,600,600,600,70964.34,65069.16,75926.95,71217.41,600,600,600,600,600,600,600,32194.92,600,600,56210.27,74674.07,77540.27,66708.77,67116.06,600,98318.81,600,24313.55,600,600,31786.35,36930.75,600,99142.58,84990.95,22050.8,600,600,600,600,70964.34,65069.16,75926.95,71217.41,600,600,600,600,600,600,600,32194.92,600,600,56210.27,74674.07,77540.27,66708.77,67116.06,600,98318.81,600,24313.55,600,600,31786.35,36930.75,600,99142.58,84990.95,22050.8,600,600,600,600,70964.34,65069.16,75926.95,71217.41
811_3.691_241.118,600,600,600,49148.64,56216.57,600,112976.2,600,600,114937.4,376607,600,600,200557.6,600,600,128012.8,75906.61,102899.5,110931.2,600,600,600,600,600,600,89707.11,600,31819.09,25410.12,53138.1,91311.95,70728.6,600,600,600,600,600,49148.64,56216.57,600,112976.2,600,600,114937.4,376607,600,600,200557.6,600,600,128012.8,75906.61,102899.5,110931.2,600,600,600,600,600,600,89707.11,600,31819.09,25410.12,53138.1,91311.95,70728.6,600,600,600,600,600,49148.64,56216.57,600,112976.2,600,600,114937.4,376607,600,600,200557.6,600,600,128012.8,75906.61,102899.5,110931.2,600,600,600,600,600,600,89707.11,600,31819.09,25410.12,53138.1,91311.95,70728.6,600,600
812_3.241_241.1337,33379.23,27962.78,600,35201.68,600,600,600,35480.11,42837.45,600,600,98650.19,67061.08,600,40305.72,42546.13,39843.04,600,44435.98,74522.55,36136.78,61029.71,61203.98,18575.45,126938.7,48151.21,154667.3,68023.43,600,600,32940.63,600,119567.8,58967.8,600,33379.23,27962.78,600,35201.68,600,600,600,35480.11,42837.45,600,600,98650.19,67061.08,600,40305.72,42546.13,39843.04,600,44435.98,74522.55,36136.78,61029.71,61203.98,18575.45,126938.7,48151.21,154667.3,68023.43,600,600,32940.63,600,119567.8,58967.8,600,33379.23,27962.78,600,35201.68,600,600,600,35480.11,42837.45,600,600,98650.19,67061.08,600,40305.72,42546.13,39843.04,600,44435.98,74522.55,36136.78,61029.71,61203.98,18575.45,126938.7,48151.21,154667.3,68023.43,600,600,32940.63,600,119567.8,58967.8,600
813_4.085_242.1137,68644.89,80112.09,68847.84,92455.66,99783,73656.67,85954.32,60194.46,91976.13,31738.63,88241.77,600,102201.5,54153.26,99111.24,39325.97,69731.37,600,53421.15,114533,600,600,25784.32,600,76476.63,137085.6,35198.91,600,79851.93,600,69110.84,38833.13,600,600,5011.124,68644.89,80112.09,68847.84,92455.66,99783,73656.67,85954.32,60194.46,91976.13,31738.63,88241.77,600,102201.5,54153.26,99111.24,39325.97,69731.37,600,53421.15,114533,600,600,25784.32,600,76476.63,137085.6,35198.91,600,79851.93,600,69110.84,38833.13,600,600,5011.124,68644.89,80112.09,68847.84,92455.66,99783,73656.67,85954.32,60194.46,91976.13,31738.63,88241.77,600,102201.5,54153.26,99111.24,39325.97,69731.37,600,53421.15,114533,600,600,25784.32,600,76476.63,137085.6,35198.91,600,79851.93,600,69110.84,38833.13,600,600,5011.124
814_0.764_243.9383,60808.18,51742.72,64004.38,62027.06,50839.88,58557.69,34565.7,53176.83,54974.91,46999.28,69024.12,38567.79,52030.43,55404.5,56378.79,42602.24,51368.5,45221.57,46766.34,61399.57,49878.77,55340.84,42793.82,39441.26,61630.96,60010.36,75008.35,60638.01,44265.44,55852.46,48209.13,38415.59,41341.01,45049.32,37651.88,60808.18,51742.72,64004.38,62027.06,50839.88,58557.69,34565.7,53176.83,54974.91,46999.28,69024.12,38567.79,52030.43,55404.5,56378.79,42602.24,51368.5,45221.57,46766.34,61399.57,49878.77,55340.84,42793.82,39441.26,61630.96,60010.36,75008.35,60638.01,44265.44,55852.46,48209.13,38415.59,41341.01,45049.32,37651.88,60808.18,51742.72,64004.38,62027.06,50839.88,58557.69,34565.7,53176.83,54974.91,46999.28,69024.12,38567.79,52030.43,55404.5,56378.79,42602.24,51368.5,45221.57,46766.34,61399.57,49878.77,55340.84,42793.82,39441.26,61630.96,60010.36,75008.35,60638.01,44265.44,55852.46,48209.13,38415.59,41341.01,45049.32,37651.88
815_3.922_244.0925,600,72516.61,600,62883.29,600,600,600,600,96705.38,600,600,119153,97535.8,60039.39,85059.03,600,600,70008.49,98481.4,600,600,73766.4,30709.78,600,18428.31,94318.93,63620.06,600,30776.16,53449.83,77715.29,37726.88,600,600,71548.28,600,72516.61,600,62883.29,600,600,600,600,96705.38,600,600,119153,97535.8,60039.39,85059.03,600,600,70008.49,98481.4,600,600,73766.4,30709.78,600,18428.31,94318.93,63620.06,600,30776.16,53449.83,77715.29,37726.88,600,600,71548.28,600,72516.61,600,62883.29,600,600,600,600,96705.38,600,600,119153,97535.8,60039.39,85059.03,600,600,70008.49,98481.4,600,600,73766.4,30709.78,600,18428.31,94318.93,63620.06,600,30776.16,53449.83,77715.29,37726.88,600,600,71548.28
816_4.347_244.0941,19914.54,53168.72,600,76046.74,600,600,600,68131.02,600,600,2807.592,600,600,57129.59,600,9079.898,18058.2,600,35399.46,600,600,600,600,600,12792.88,9860.358,600,77162.57,600,600,42163.62,600,19044.47,84134.12,600,19914.54,53168.72,600,76046.74,600,600,600,68131.02,600,600,2807.592,600,600,57129.59,600,9079.898,18058.2,600,35399.46,600,600,600,600,600,12792.88,9860.358,600,77162.57,600,600,42163.62,600,19044.47,84134.12,600,19914.54,53168.72,600,76046.74,600,600,600,68131.02,600,600,2807.592,600,600,57129.59,600,9079.898,18058.2,600,35399.46,600,600,600,600,600,12792.88,9860.358,600,77162.57,600,600,42163.62,600,19044.47,84134.12,600
817_3.093_244.107,39993.21,56401.85,83182.1,5704.718,600,16297.82,10852.55,600,34032.33,600,89571.8,600,70283.3,92040.97,600,600,40601.79,600,38540.16,77027.3,1589.897,600,68373.46,35288.99,72654.24,108457.9,4183.026,83275.75,600,600,600,600,62580.14,4244.551,100570.1,39993.21,56401.85,83182.1,5704.718,600,16297.82,10852.55,600,34032.33,600,89571.8,600,70283.3,92040.97,600,600,40601.79,600,38540.16,77027.3,1589.897,600,68373.46,35288.99,72654.24,108457.9,4183.026,83275.75,600,600,600,600,62580.14,4244.551,100570.1,39993.21,56401.85,83182.1,5704.718,600,16297.82,10852.55,600,34032.33,600,89571.8,600,70283.3,92040.97,600,600,40601.79,600,38540.16,77027.3,1589.897,600,68373.46,35288.99,72654.24,108457.9,4183.026,83275.75,600,600,600,600,62580.14,4244.551,100570.1
818_7_245.2356,765853.3,752183.1,626234.9,682787.4,701196.8,698325.8,714819.8,653899.5,643787.1,686577.8,728073.4,701007.3,639257.9,681777.3,642716.9,557985.9,591240.1,660543.3,614768.6,629775.8,578134.2,550610.5,488953.1,604371.3,650211.9,617787.1,600275.9,594083.3,582211.1,612562.4,624129.6,558717.9,494991.7,501484.3,481670.5,765853.3,752183.1,626234.9,682787.4,701196.8,698325.8,714819.8,653899.5,643787.1,686577.8,728073.4,701007.3,639257.9,681777.3,642716.9,557985.9,591240.1,660543.3,614768.6,629775.8,578134.2,550610.5,488953.1,604371.3,650211.9,617787.1,600275.9,594083.3,582211.1,612562.4,624129.6,558717.9,494991.7,501484.3,481670.5,765853.3,752183.1,626234.9,682787.4,701196.8,698325.8,714819.8,653899.5,643787.1,686577.8,728073.4,701007.3,639257.9,681777.3,642716.9,557985.9,591240.1,660543.3,614768.6,629775.8,578134.2,550610.5,488953.1,604371.3,650211.9,617787.1,600275.9,594083.3,582211.1,612562.4,624129.6,558717.9,494991.7,501484.3,481670.5
819_5.555_246.1102,714728.1,600,876194.8,600,1164635,1185097,600,784706.6,600,600,936046.4,223788,600,600,600,600,884994.9,976733.1,600,600,1017053,600,809949.3,600,956399.4,600,1070939,1026171,1050488,1240986,1207919,174369.3,798093.1,600,662950.6,714728.1,600,876194.8,600,1164635,1185097,600,784706.6,600,600,936046.4,223788,600,600,600,600,884994.9,976733.1,600,600,1017053,600,809949.3,600,956399.4,600,1070939,1026171,1050488,1240986,1207919,174369.3,798093.1,600,662950.6,714728.1,600,876194.8,600,1164635,1185097,600,784706.6,600,600,936046.4,223788,600,600,600,600,884994.9,976733.1,600,600,1017053,600,809949.3,600,956399.4,600,1070939,1026171,1050488,1240986,1207919,174369.3,798093.1,600,662950.6
820_3.258_246.1219,600,106492.2,99047.25,600,600,600,600,91033.09,600,600,125734.2,65409.23,600,112704.8,469729.1,123582.1,92881.37,600,20277.35,600,71367.56,66932.98,159340.8,600,2583.171,600,600,600,600,600,51605.6,600,196942.2,211700,195218,600,106492.2,99047.25,600,600,600,600,91033.09,600,600,125734.2,65409.23,600,112704.8,469729.1,123582.1,92881.37,600,20277.35,600,71367.56,66932.98,159340.8,600,2583.171,600,600,600,600,600,51605.6,600,196942.2,211700,195218,600,106492.2,99047.25,600,600,600,600,91033.09,600,600,125734.2,65409.23,600,112704.8,469729.1,123582.1,92881.37,600,20277.35,600,71367.56,66932.98,159340.8,600,2583.171,600,600,600,600,600,51605.6,600,196942.2,211700,195218
821_6.765_246.146,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
822_6.541_246.1466,32347.09,600,44469.58,600,44636.78,600,600,600,600,600,82641.37,100965.8,152172.4,600,124785.3,79508.7,600,97772.73,45847.67,39258.34,91267.29,600,67119.66,600,114695.3,99230.36,600,90720.06,600,600,600,600,51324.83,600,600,32347.09,600,44469.58,600,44636.78,600,600,600,600,600,82641.37,100965.8,152172.4,600,124785.3,79508.7,600,97772.73,45847.67,39258.34,91267.29,600,67119.66,600,114695.3,99230.36,600,90720.06,600,600,600,600,51324.83,600,600,32347.09,600,44469.58,600,44636.78,600,600,600,600,600,82641.37,100965.8,152172.4,600,124785.3,79508.7,600,97772.73,45847.67,39258.34,91267.29,600,67119.66,600,114695.3,99230.36,600,90720.06,600,600,600,600,51324.83,600,600
823_6.626_246.1467,600,600,13893.24,600,600,600,600,600,600,600,600,672729.6,600,600,665939.6,600,600,600,600,600,600,600,634920.7,600,600,644218,751475.1,600,600,600,600,600,600,600,600,600,600,13893.24,600,600,600,600,600,600,600,600,672729.6,600,600,665939.6,600,600,600,600,600,600,600,634920.7,600,600,644218,751475.1,600,600,600,600,600,600,600,600,600,600,13893.24,600,600,600,600,600,600,600,600,672729.6,600,600,665939.6,600,600,600,600,600,600,600,634920.7,600,600,644218,751475.1,600,600,600,600,600,600,600,600
824_6.579_246.1468,600,600,600,600,600,600,600,600,600,600,600,600,600,600,438000.8,376040.6,600,600,600,600,131868.6,600,600,600,141694.5,351992.2,600,563690.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,438000.8,376040.6,600,600,600,600,131868.6,600,600,600,141694.5,351992.2,600,563690.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,438000.8,376040.6,600,600,600,600,131868.6,600,600,600,141694.5,351992.2,600,563690.7,600,600,600,600,600,600,600
825_6.559_246.1468,600,18280.55,600,600,600,600,600,600,600,600,600,600,207738.4,600,600,245651,600,600,600,600,600,600,324129.4,600,600,600,192179.3,331378.7,600,600,8326.365,600,600,600,600,600,18280.55,600,600,600,600,600,600,600,600,600,600,207738.4,600,600,245651,600,600,600,600,600,600,324129.4,600,600,600,192179.3,331378.7,600,600,8326.365,600,600,600,600,600,18280.55,600,600,600,600,600,600,600,600,600,600,207738.4,600,600,245651,600,600,600,600,600,600,324129.4,600,600,600,192179.3,331378.7,600,600,8326.365,600,600,600,600
826_6.679_246.1469,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
827_6.562_246.1469,66889.12,57831.26,600,600,34647.03,53337.82,62806.04,42055.87,66498.45,600,600,60906.59,57292.62,600,600,600,600,78101.03,600,600,600,35661.1,600,42496.34,26035.49,600,600,600,45861.47,67541.23,46954.78,600,600,41660.84,23509.28,66889.12,57831.26,600,600,34647.03,53337.82,62806.04,42055.87,66498.45,600,600,60906.59,57292.62,600,600,600,600,78101.03,600,600,600,35661.1,600,42496.34,26035.49,600,600,600,45861.47,67541.23,46954.78,600,600,41660.84,23509.28,66889.12,57831.26,600,600,34647.03,53337.82,62806.04,42055.87,66498.45,600,600,60906.59,57292.62,600,600,600,600,78101.03,600,600,600,35661.1,600,42496.34,26035.49,600,600,600,45861.47,67541.23,46954.78,600,600,41660.84,23509.28
828_6.605_246.147,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1325123,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1325123,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1325123,600,600,600,600,600,600,600,600
829_3.729_248.1162,112926.3,103929.6,106482.6,70810.08,600,600,600,600,100948.6,600,600,600,74017.37,75622.95,600,104100.8,86032.02,600,600,600,34827.68,600,88940.26,51989.85,600,79635.59,600,65331.85,600,600,600,89798.34,86274.68,86736.55,600,112926.3,103929.6,106482.6,70810.08,600,600,600,600,100948.6,600,600,600,74017.37,75622.95,600,104100.8,86032.02,600,600,600,34827.68,600,88940.26,51989.85,600,79635.59,600,65331.85,600,600,600,89798.34,86274.68,86736.55,600,112926.3,103929.6,106482.6,70810.08,600,600,600,600,100948.6,600,600,600,74017.37,75622.95,600,104100.8,86032.02,600,600,600,34827.68,600,88940.26,51989.85,600,79635.59,600,65331.85,600,600,600,89798.34,86274.68,86736.55,600
830_3.909_248.1162,600,600,600,61633.26,600,600,600,62058.07,52123.32,600,55260.47,57180.81,600,600,600,600,600,600,600,45568.68,14355.45,52507.57,16731.73,600,49924.32,52670.59,59989.09,75080.3,600,48451.16,10847.22,600,600,19821.98,16409.75,600,600,600,61633.26,600,600,600,62058.07,52123.32,600,55260.47,57180.81,600,600,600,600,600,600,600,45568.68,14355.45,52507.57,16731.73,600,49924.32,52670.59,59989.09,75080.3,600,48451.16,10847.22,600,600,19821.98,16409.75,600,600,600,61633.26,600,600,600,62058.07,52123.32,600,55260.47,57180.81,600,600,600,600,600,600,600,45568.68,14355.45,52507.57,16731.73,600,49924.32,52670.59,59989.09,75080.3,600,48451.16,10847.22,600,600,19821.98,16409.75
831_4.9_248.1261,270284.6,252299.5,455262.3,580866.6,751001.4,638610.6,196351,600,178219.4,600,600,140512.6,600,63473.42,600,83579.3,86821.67,121299.1,95946.72,600,600,324799.2,81079.63,151334.5,107118.4,600,600,600,380907.7,600,453214.7,87742.98,600,600,600,270284.6,252299.5,455262.3,580866.6,751001.4,638610.6,196351,600,178219.4,600,600,140512.6,600,63473.42,600,83579.3,86821.67,121299.1,95946.72,600,600,324799.2,81079.63,151334.5,107118.4,600,600,600,380907.7,600,453214.7,87742.98,600,600,600,270284.6,252299.5,455262.3,580866.6,751001.4,638610.6,196351,600,178219.4,600,600,140512.6,600,63473.42,600,83579.3,86821.67,121299.1,95946.72,600,600,324799.2,81079.63,151334.5,107118.4,600,600,600,380907.7,600,453214.7,87742.98,600,600,600
832_4.637_248.1495,600,24198.12,600,600,600,600,100189.5,600,111086.3,600,600,55643.75,73478.98,76916.47,50928.48,76850.3,82716.42,43185.8,68773.98,47414.73,46107.64,600,62850.87,75134.36,600,600,600,600,600,600,600,80442.49,140653.4,52270.38,44230.68,600,24198.12,600,600,600,600,100189.5,600,111086.3,600,600,55643.75,73478.98,76916.47,50928.48,76850.3,82716.42,43185.8,68773.98,47414.73,46107.64,600,62850.87,75134.36,600,600,600,600,600,600,600,80442.49,140653.4,52270.38,44230.68,600,24198.12,600,600,600,600,100189.5,600,111086.3,600,600,55643.75,73478.98,76916.47,50928.48,76850.3,82716.42,43185.8,68773.98,47414.73,46107.64,600,62850.87,75134.36,600,600,600,600,600,600,600,80442.49,140653.4,52270.38,44230.68
833_3.087_249.1007,600,98175.67,58740.22,600,600,600,61850.19,67895.44,73344.17,600,34186.09,600,34559.14,600,600,49213.31,50086.42,600,62717.98,100980.1,62454.04,106730.1,35389.59,85700.21,106188,600,99493.95,22946.12,600,600,21588.55,97729.66,69557.82,35118.12,78098.18,600,98175.67,58740.22,600,600,600,61850.19,67895.44,73344.17,600,34186.09,600,34559.14,600,600,49213.31,50086.42,600,62717.98,100980.1,62454.04,106730.1,35389.59,85700.21,106188,600,99493.95,22946.12,600,600,21588.55,97729.66,69557.82,35118.12,78098.18,600,98175.67,58740.22,600,600,600,61850.19,67895.44,73344.17,600,34186.09,600,34559.14,600,600,49213.31,50086.42,600,62717.98,100980.1,62454.04,106730.1,35389.59,85700.21,106188,600,99493.95,22946.12,600,600,21588.55,97729.66,69557.82,35118.12,78098.18
834_0.811_249.8957,600,42761.15,81569.36,5754.103,113091.2,74796.84,600,45402.86,64729.49,62891.91,44920.21,66779.66,60888.78,600,54401.32,600,600,67689.62,66581.37,50463.95,139314.2,79710.35,46017.3,600,57111.24,58497.8,106329,75165.39,49903.95,71172.68,69134.67,600,53355.02,46321.76,38695.71,600,42761.15,81569.36,5754.103,113091.2,74796.84,600,45402.86,64729.49,62891.91,44920.21,66779.66,60888.78,600,54401.32,600,600,67689.62,66581.37,50463.95,139314.2,79710.35,46017.3,600,57111.24,58497.8,106329,75165.39,49903.95,71172.68,69134.67,600,53355.02,46321.76,38695.71,600,42761.15,81569.36,5754.103,113091.2,74796.84,600,45402.86,64729.49,62891.91,44920.21,66779.66,60888.78,600,54401.32,600,600,67689.62,66581.37,50463.95,139314.2,79710.35,46017.3,600,57111.24,58497.8,106329,75165.39,49903.95,71172.68,69134.67,600,53355.02,46321.76,38695.71
835_0.747_249.9455,74816.24,64062.73,600,22580.38,600,34495.37,600,63082.43,600,70371.3,80221.73,55952.66,57519.26,75356.11,73723.48,600,600,38736,600,64996.78,600,33352.11,72852.99,600,40530.65,58123.58,600,48930.68,600,600,41613.3,600,68512.72,67800.29,67282.02,74816.24,64062.73,600,22580.38,600,34495.37,600,63082.43,600,70371.3,80221.73,55952.66,57519.26,75356.11,73723.48,600,600,38736,600,64996.78,600,33352.11,72852.99,600,40530.65,58123.58,600,48930.68,600,600,41613.3,600,68512.72,67800.29,67282.02,74816.24,64062.73,600,22580.38,600,34495.37,600,63082.43,600,70371.3,80221.73,55952.66,57519.26,75356.11,73723.48,600,600,38736,600,64996.78,600,33352.11,72852.99,600,40530.65,58123.58,600,48930.68,600,600,41613.3,600,68512.72,67800.29,67282.02
836_3.925_250.1049,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,129271.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,129271.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,129271.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600
837_7.329_250.1548,16118.24,18895.19,24748.73,26356.33,20910.24,600,22833.38,28185.67,27067.23,29160.99,19279.19,27877.32,28152.11,29549.11,17414.53,14522.15,33069.01,29251.84,28509.04,28114.29,22570.35,13907.31,21804.32,30902.09,14728.04,25822.66,22444.75,24282.04,25558.45,12599.82,25315.7,25113.66,33298.74,30751.34,34163.03,16118.24,18895.19,24748.73,26356.33,20910.24,600,22833.38,28185.67,27067.23,29160.99,19279.19,27877.32,28152.11,29549.11,17414.53,14522.15,33069.01,29251.84,28509.04,28114.29,22570.35,13907.31,21804.32,30902.09,14728.04,25822.66,22444.75,24282.04,25558.45,12599.82,25315.7,25113.66,33298.74,30751.34,34163.03,16118.24,18895.19,24748.73,26356.33,20910.24,600,22833.38,28185.67,27067.23,29160.99,19279.19,27877.32,28152.11,29549.11,17414.53,14522.15,33069.01,29251.84,28509.04,28114.29,22570.35,13907.31,21804.32,30902.09,14728.04,25822.66,22444.75,24282.04,25558.45,12599.82,25315.7,25113.66,33298.74,30751.34,34163.03
838_5.376_250.1779,93526.57,80699.05,75543.99,98887.58,107333.7,71594.45,91902.9,600,600,600,600,600,600,82780.36,90314.38,81433.19,81330.98,600,72033.03,600,80733.03,600,600,83469.41,600,83446.73,72977.24,600,71424.8,96020.77,90826,600,74136.06,65674.56,58823.66,93526.57,80699.05,75543.99,98887.58,107333.7,71594.45,91902.9,600,600,600,600,600,600,82780.36,90314.38,81433.19,81330.98,600,72033.03,600,80733.03,600,600,83469.41,600,83446.73,72977.24,600,71424.8,96020.77,90826,600,74136.06,65674.56,58823.66,93526.57,80699.05,75543.99,98887.58,107333.7,71594.45,91902.9,600,600,600,600,600,600,82780.36,90314.38,81433.19,81330.98,600,72033.03,600,80733.03,600,600,83469.41,600,83446.73,72977.24,600,71424.8,96020.77,90826,600,74136.06,65674.56,58823.66
839_3.219_251.1026,28889.94,17856.29,600,600,27080.35,39356.05,600,600,600,89555.97,600,600,600,57249.89,600,64369.14,6818.325,600,600,600,195234.5,600,600,600,600,600,36411.66,600,219509.5,432216.4,600,35228.65,600,600,600,28889.94,17856.29,600,600,27080.35,39356.05,600,600,600,89555.97,600,600,600,57249.89,600,64369.14,6818.325,600,600,600,195234.5,600,600,600,600,600,36411.66,600,219509.5,432216.4,600,35228.65,600,600,600,28889.94,17856.29,600,600,27080.35,39356.05,600,600,600,89555.97,600,600,600,57249.89,600,64369.14,6818.325,600,600,600,195234.5,600,600,600,600,600,36411.66,600,219509.5,432216.4,600,35228.65,600,600,600
840_5.204_252.0977,37198.11,600,600,24911.36,600,600,600,31414,27247.39,600,600,35653.82,600,600,28709.04,23129.54,32099.76,600,29312.11,34482.01,600,36279.99,600,22091.11,39796.88,15759.88,600,600,25153.59,600,26106.09,73723.92,28738.16,21889.18,600,37198.11,600,600,24911.36,600,600,600,31414,27247.39,600,600,35653.82,600,600,28709.04,23129.54,32099.76,600,29312.11,34482.01,600,36279.99,600,22091.11,39796.88,15759.88,600,600,25153.59,600,26106.09,73723.92,28738.16,21889.18,600,37198.11,600,600,24911.36,600,600,600,31414,27247.39,600,600,35653.82,600,600,28709.04,23129.54,32099.76,600,29312.11,34482.01,600,36279.99,600,22091.11,39796.88,15759.88,600,600,25153.59,600,26106.09,73723.92,28738.16,21889.18,600
