Compound Nme, 13 01, 13 02, 13 03, 13 04, 13 05, 13 06, 13 07, 13 08, 13 09, 13 10, 13 11, 13 12, 13 13, 13 14, 13 15, 13 16, 13 17, 13 18, 13 19, 13 20, 13 21, 13 22, 13 23, 13 24, 13 25, 13 26, 13 27, 13 28, 13 29, 13 30, 13 31, 13 32, 13 33, 13 34, 13 36, 14 01, 14 02, 14 03, 14 04, 14 05, 14 06, 14 07, 14 08, 14 09, 14 10, 14 11, 14 12, 14 13, 14 14, 14 15, 14 16, 14 17, 14 18, 14 19, 14 20, 14 21, 14 22, 14 23, 14 24, 14 25, 14 26, 14 27, 14 28, 14 29, 14 30, 14 31, 14 32, 14 33, 14 34, 14 36, 15-01, 15-02, 15-03, 15-04, 15-05, 15-06, 15-07, 15-08, 15-09, 15-10, 15-11, 15-12, 15-13, 15-14, 15-15, 15-16, 15-17, 15-18, 15-19, 15-20, 15-21, 15-22, 15-23, 15-24, 15-25, 15-26, 15-27, 15-28, 15-29, 15-30, 15-31, 15-32, 15-33, 15-34, 15-36
855_4.152_258.1092,59031.91,36966.14,600,20196.68,600,50143.42,600,31452.97,58191.83,600,12808.03,600,62242.82,600,600,600,600,34940.79,44977.79,600,600,600,38523.37,600,600,600,600,37416.02,171439.2,56949.05,600,19033.34,18542.36,98379.73,600,18997.32,20290.23,600,23900.67,600,600,87398.67,600,129085.4,600,600,19457.98,600,600,600,600,34357.03,26366.81,600,600,90213.2,600,74410.44,600,97465.4,48183.22,600,57136.33,600,600,600,600,91543.01,22126.4,82521.15,600,34886.99,29273.61,600,600,600,600,34360.21,600,28925.06,600,32266.38,600,33155.58,600,30399.21,600,13696.82,62729.28,22236.78,600,600,600,600,59896.73,14060.01,7867.26,600,600,600,12011.01,34124.59,600,600,26406.59
856_5.111_258.1103,600,32419.43,72281.51,600,600,19417.95,600,77827.15,52020.68,25599.08,600,600,39646.79,76310.86,62184.39,600,600,63648.18,600,58682.26,98292.45,131817.8,27678,45692.5,600,80108.78,34856.41,600,27288.4,96891.42,169541.5,600,600,61140.41,600,600,70473.63,600,49831.07,600,600,600,73845.77,30969.46,600,45567.81,75496.91,122880.5,40673.43,600,116938.6,600,68663.02,600,69133.43,92929.44,89414,71200.17,88580.36,39269.96,86642.15,83389.64,117420.9,600,45055.55,600,600,71197.27,60341.56,600,600,4388.099,600,600,600,600,60010.98,600,600,600,125381.7,600,600,67056.19,600,600,156883.4,97818.41,175581.2,64539.43,22047.62,600,600,157759,54256.71,85811.55,600,600,600,600,600,600,600,69591.52,600
857_4.892_258.1103,600,31551.55,600,47332.04,18170.62,53199.06,39961.63,600,57860.02,21250.82,600,29238.98,66105.06,48739.27,600,53458.63,600,40058.59,600,29110.46,53886.75,600,27610.82,24152.94,600,50948.97,45698.92,23411.91,48725.01,30769.58,42714.7,600,42026.57,600,600,600,600,51771.68,132896.3,20254.76,600,600,42116.94,136626.5,39690.04,33467.31,600,600,29361.14,29973.26,600,23108.25,600,30632.93,600,600,600,600,28208.42,29457.46,600,44650.8,600,44696.81,57829.08,35651.64,45337.32,600,39923.11,600,33434.41,31262.52,19258.44,31374.99,600,600,600,600,46954.08,600,600,600,600,82604.39,600,600,600,600,600,30285.92,42173.07,40610.18,40547.4,47747.4,105268.1,600,600,49017.9,600,35373.38,600,51536.91,600,600,34975.24
858_3.203_258.1231,600,34549.27,600,600,600,600,600,600,600,600,58839.81,600,48416.42,600,600,600,39732.25,600,600,600,44952.64,600,70892.63,600,600,171470.2,600,600,600,600,600,15534.45,111853.8,106017.8,600,600,600,21263.88,600,600,600,55769.99,600,600,600,600,600,174926.8,600,600,92273.7,33378.3,600,600,600,600,161321.4,600,21344.45,600,600,600,90533.31,600,600,3543.156,600,80692.52,600,600,600,56612.11,10299.38,600,600,600,600,40466.96,600,600,48505.5,43223.02,15315.04,46808.26,600,600,95816.08,29662.66,57017.78,83848.05,23288.56,105432.6,49467.05,19188.1,600,51240.58,56172.17,48880.14,35764.83,600,70152.37,600,600,600,29176.16
859_6.756_258.2308,29094.47,26347.6,14733.41,15130.96,36240.63,55786.56,23057.25,9401.23,17897.5,16262.28,8410.764,6877.928,10262.34,6980.089,7015.487,19529.47,18102.59,49206.48,35469.09,14299.46,30215.15,20141.43,31315.84,39877.55,17885.49,15418.43,10657.21,11677.73,5798.557,15802.16,600,600,5462.907,3502.239,600,21821.14,8375.347,9688.213,6453.598,5149.317,7148.026,22244,600,600,10664.47,600,6170.988,600,600,600,4248.443,198298.3,20753.22,149309.4,9001.434,10916.91,15541.51,5383.085,31343.25,17421.9,8358.713,10532.23,16340.32,138678.3,6022.878,6923.607,600,15614.81,7636.651,121902.9,40793.52,15098.56,15142.36,12118.22,23997.93,24828.08,40733.41,36726.18,135503.3,12663.35,11594.98,5898.435,5984.898,34613.82,125863.9,10207.4,11008.71,6416.287,21817.73,32104.54,12159.92,38527,10844.78,124551.4,32729.17,17946.77,18651.17,19951.99,17659.84,80818.81,600,109121.8,214443.4,8280.217,11560.81
860_1.466_258.9309,354963.8,600,450157.3,290817.8,600,75151.38,384790.1,600,388185.8,49960.57,402094.9,443119.1,398406.5,409928.2,446340.3,281983,337027.1,325599.8,265277,600,600,411887.4,32577.12,54772.27,417569.2,600,304248.6,82198.54,91389.19,11495.14,427030.9,472437.5,372297.9,366381.9,326632.9,600,379783.3,74990.19,297218.5,21985.38,600,384315.6,600,288909.2,378572,600,252925.6,344141.4,81894.3,393789.5,327458.3,37056.52,600,600,354792.1,338439.2,258400.5,265161.4,600,600,254803.2,298533,337361.3,287205,251766.6,303897.5,231321.6,313383.5,254735.3,325666.6,147608.5,231183.8,209287,128888.1,600,172450,70369.59,168422.2,187052.3,213661.8,252903.7,267211.3,332909,209827,216319.7,199025.7,178804.1,208115.6,186532.6,285457.6,600,96370.8,145483,110996.9,238370.9,600,166356.4,211048,109100.1,600,204971.4,75065.63,182447.4,161675.1,83156.84
861_4.266_260.124,115125.1,12513.29,14010.5,600,16180.72,21015.69,5951.921,119543.8,600,600,18091.92,27070.58,19287.79,600,600,600,600,600,600,600,600,145144.3,600,29872.75,27365.25,600,19950.28,18978.47,36699.15,51224.41,600,23107.51,600,600,600,600,600,600,600,600,14486.21,32341.64,600,600,10505.34,600,600,600,600,140974.3,600,42160.82,33613.36,600,5257.894,536074,49890.71,600,600,38153.14,600,600,600,6591.916,600,201952.6,600,600,600,600,600,600,600,600,9947.36,29219.07,10437.75,600,600,11691.18,42909.71,600,185266.5,600,43577.68,600,600,21088.04,14753.81,600,66934.31,600,600,600,600,266637.3,22256.39,600,30789.88,6264.957,600,600,19860.72,600,13407.9
862_3.776_260.1369,600,600,58431.08,600,600,86583.67,88118.85,600,600,600,600,42002.93,39993.23,96904.08,600,600,72881.79,600,600,600,52523.76,29649.25,66144.2,5893.357,600,600,20295.8,600,600,600,25600.43,600,27048.42,600,93172.31,29129.79,85579.61,59658.63,600,600,600,600,600,600,37195.69,90040.05,600,37352.55,46710.68,94810.15,600,71985.39,600,600,600,59179.11,83776.8,13298.03,600,600,600,600,600,600,40857.64,36783.3,41179.11,17734.25,600,73203.7,600,82621.02,72623.83,7011.124,600,600,600,161810.1,19747.26,32156.31,95962.09,43050.93,33330.95,600,600,600,40890.48,600,48502.68,600,66139.69,67749.88,600,600,600,600,600,52862.28,600,38954.2,53201.05,600,600,600,52530.65
863_3.084_260.137,2192.346,51554.25,600,81364.08,600,600,63794.77,45874,600,600,54434.65,600,50570.27,600,102713.4,600,600,600,600,600,36964.42,600,61382.36,600,85156.41,600,75882.45,23664.11,600,55215.68,600,76149.59,600,600,45947.96,43973.93,600,600,600,600,600,600,600,600,600,51785.5,44768.02,50898.73,600,63442.51,81064.75,12949.06,52248.53,600,600,600,79945.9,86038.23,600,600,55308.27,48711.11,48576.61,600,600,600,600,55215.82,600,67872.72,600,600,600,600,600,600,69044.27,46467.11,600,600,76305.55,64476.46,600,600,600,42093.4,600,600,124469.5,43101.59,600,600,56814.9,600,600,19252.21,600,600,600,600,600,600,600,600,600
864_3.653_260.1372,175697.5,600,600,600,600,600,55607.24,268165.6,600,600,108713.3,600,600,201869.7,151760.7,165437.3,106573.3,600,600,600,600,248460.2,600,600,600,600,123472.5,600,600,600,600,600,600,600,112750.6,233904.4,189920.8,600,34047.41,600,600,600,600,182392.5,600,158460.1,600,600,600,193574.9,600,600,600,600,600,240975.3,600,600,600,600,600,600,600,600,65472.34,600,600,145713.3,197537.5,142962.2,124548,600,600,600,600,600,600,233476.2,128540.3,600,191843.9,44933.64,600,265598.2,270780.4,119839.6,600,600,18456.45,600,600,115608.1,195272.8,600,600,600,600,600,600,29722.24,600,600,184476.7,204061,163094.3
865_3.898_260.1374,600,600,15393.46,600,600,600,600,468457.4,600,600,600,600,30077.91,600,346306,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,410892.2,600,600,600,600,600,600,600,600,600,382308.7,105226.4,600,600,600,600,600,600,600,600,600,600,600,600,600,17081.9,600,600,600,600,600,600,600,600,600,600,219963.4,600,152622.6,600,4290.564,600,600,600,600,600,31878.52,600,600,600,280047.6,600,618194.7,600,600,600,600,600,12625.63,600,304668.9,600,600,600,600,600,600,600,600,600,275040.1,600,235736.5
866_3.234_260.1385,600,600,103684.4,600,600,600,600,600,36446.55,600,6072.049,46127.9,600,135094.1,32394.5,119814,600,600,600,600,20994.74,600,148253.7,13556.04,126389.3,93556.08,600,600,18246.61,47917,600,53438.03,600,163134.9,600,107183,600,31231.08,79812.35,600,600,600,600,600,600,7915.608,600,600,600,36913.5,600,19017.92,42148.61,18326.28,600,600,600,600,12706.08,600,43853.93,120499.5,96298.08,600,600,106145.4,103575.4,600,600,16219.6,20169.78,16674.26,128416.7,98206.53,600,35034.72,600,27839.26,600,600,111469.1,600,600,96727.23,600,600,600,21630.26,600,600,17666.01,600,107633,41554.7,600,76839.56,600,121226.9,600,38259.08,600,120477.8,18308.05,181992.7,141336.1
867_3.938_260.1394,307125.1,112174.2,600,41747.22,600,600,600,600,600,600,228081.8,151967.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,706365,600,212479,600,600,102079.2,600,600,600,600,510705.7,110953.6,600,600,600,600,93385.09,600,32545.32,600,600,40732.67,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,19138.67,122607.1,600,600,600,600,33386.11,600,27732.23,600,600,600,600,600,600,127097,600,600,600,600,600,121976.1,600,600,600,600,600,600,600,600,53914.08,600,600,255325.9,600
868_1.438_261.1383,333465.8,600,194344.4,257285.3,600,600,197281.1,600,141302.4,600,138522.6,604231.3,513213.4,465864.4,165776.6,255737.4,600,600,600,600,600,600,49899.66,600,600,600,600,600,600,600,569448.8,600,134179.5,600,600,600,600,600,600,600,600,600,600,674074.3,171153.7,600,600,132952.6,600,600,600,600,5187.742,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,620190.4,600,600,600,600,600,144137.1,600,600,579043.9,137849.9,225360.7,234507.7,1006355,355939.3,526734.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,184712,600,600,600
869_7.128_261.2305,111572.7,52569.41,40599.87,36994.3,37821.64,29044.33,29200.6,29039.83,19177.96,30283.31,21460.78,25940.72,20672.65,23339.08,20076.87,22600.73,24258.7,22071.16,21184.77,20554.06,22450.07,13232.02,21975.83,22968.07,28045.97,27068.06,19416.34,24715.96,21473.28,22134.04,21791.93,23447.77,19517.86,20083.04,24014.4,23896.18,17464.63,21662.13,18251.34,23125.69,24352.26,21512.38,17699.3,17641.31,20435.53,21225.49,15866.92,19673.62,21938.54,20260.7,19040.86,17297.54,24158.1,21624.49,19378.08,21042.56,19558.56,20357.77,19214.74,21672.68,21352.77,23603.82,18777.41,21678.16,25933.55,21715.94,19682.96,21442.77,16490.29,17796.87,28643.95,31782.58,26899.41,24957.22,29126.29,25941.08,26808.06,22512.45,24715.92,23426.25,23128.09,22421.32,20810.24,23416.79,21618.97,19702.64,20031.94,19279.36,23278.97,21747.66,19327.76,20749.7,18213.43,20627.25,19595.87,20926.59,18677.54,19775.77,21006.22,17282.38,18516.06,18436.49,16421.02,19680.09,20273.38
870_0.949_261.8701,137314.4,49945.8,129604.7,77027.73,600,600,83487.99,198984.6,600,600,216133.4,133376.8,216895.6,129126.9,133692.1,65333.88,100755,113845.9,600,119969.5,15380.85,84108.82,600,53414.95,69740.02,87543.17,600,60685.54,600,50141.68,153052.6,230072.2,54042.71,169703,600,65308.82,92919.65,600,128301.7,600,22542.43,115264.5,40944.67,600,78051.9,116133.5,55444.88,136914.4,52141.22,315471.9,600,600,104795.9,600,98290.59,600,68606.91,75175.15,600,48001.45,600,600,171929.6,600,600,77115.08,600,134915.2,600,600,89266.38,600,600,600,600,600,600,62241.34,600,89392.56,111903.7,54148.08,57071.58,92790.18,600,600,70792.71,67830.35,600,78023.05,600,51198,87338.91,600,600,600,44794.43,63752.61,600,600,600,600,40328.85,76599.39,600
871_1.165_261.8718,600,39710.39,600,38258.18,27358.61,57760.7,600,98157.45,600,600,102545.6,600,600,600,63233.53,69366.23,600,163430.9,93481.02,63275.13,16989.64,600,600,600,30677.44,600,600,600,600,4542.518,600,600,600,600,42996.42,30132.3,600,39466.09,40061.75,14432.91,600,600,600,600,600,45751.32,69451.47,600,600,33420.61,600,4048.746,27373.29,26095.89,10162.73,600,600,600,600,600,59676.7,600,27128.64,78816.3,89429.15,600,600,600,600,79636.16,600,4071.731,600,71262.72,66779.95,72593.71,600,600,29200.64,45461.18,70015.78,70572.73,101484.2,600,600,21409.02,63974.85,600,76597,78400.84,77254.54,600,50431.1,2459.383,56696.3,600,12103.07,600,600,600,600,53175.78,600,32722.79,600
872_1.062_261.8764,175326.7,79010.95,258219.5,127841.2,600,600,600,600,600,600,600,59164.53,600,167333.5,138577.3,600,600,600,600,600,75896.96,102784.1,600,600,113973.7,600,600,600,600,600,102131.2,600,600,600,600,600,600,600,600,600,600,600,600,600,600,42425.38,600,600,600,600,600,600,600,83250.45,600,600,369212.6,268313.4,600,600,600,600,600,600,600,600,600,600,600,297058.9,600,600,600,600,600,600,600,600,60478.31,600,600,600,600,600,600,600,123613.2,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
873_1.272_261.8767,600,44691.85,123808.5,881058.4,600,109638,600,378048.7,600,600,600,627430,600,773586.8,106367,600,600,600,600,225451.9,600,778674.8,600,600,600,646961.1,600,92071.79,600,600,600,600,600,600,600,600,600,600,600,600,70689.07,600,355031.1,600,537458.9,600,600,600,600,600,600,600,600,46597.04,369318.7,600,89080.33,600,600,600,600,329834.6,600,600,600,412025.1,600,600,600,107736.5,600,600,600,184796.5,600,600,600,600,600,600,600,600,118321.3,600,600,600,600,600,600,600,600,273295.5,600,600,126949.2,600,600,600,600,600,198331.4,600,600,600,600
874_1.075_261.8783,600,600,35361.69,600,600,600,600,600,44457.9,600,600,600,600,175590.4,600,83318.95,600,147946.3,600,600,600,600,42155.48,84778.55,600,600,600,79898.13,600,158959.7,33315.21,127120.6,600,40017.8,600,98504.81,82696.88,67003.53,600,600,600,600,600,600,600,600,600,600,600,211500.5,600,163476.5,148521.5,600,600,600,600,298012.9,75145.84,93757.06,600,600,600,600,600,600,600,74167.38,600,32926.88,600,600,197432.9,600,600,179560.8,600,600,134948.8,66090.51,600,600,600,600,600,600,124710.2,54373.7,99990.95,600,600,600,600,107373.3,600,600,600,600,600,600,600,97117.77,600,96404.36,600
875_1.281_261.8794,600,600,600,600,600,164126.2,313268.1,600,600,207982.6,388027.9,600,223726.3,600,600,427510.2,155194.1,600,424356.8,600,600,600,72332.2,283367.9,351817.3,600,600,600,600,96943.07,600,57452.52,249727.1,600,242324.7,600,257110.5,600,191676.5,600,600,600,600,75154.16,600,203509.9,600,600,215376.2,600,213596.6,135221.1,600,90545.49,600,55475.57,600,344160.3,94790.81,600,600,600,400883.9,185593.9,153968.7,600,600,268699.1,246036.9,600,357098.4,189682.5,600,600,600,600,600,147403.3,389177.5,301938.3,600,308165.1,239660.1,600,242834.5,600,600,158250.4,600,256568,600,600,357107.8,600,600,212474.4,600,600,600,600,600,600,355508.7,168291.6,281988.5
876_1.339_261.88,711264,600,492321.1,600,600,600,463674.9,600,392289.5,600,600,600,600,600,898328.6,1008888,460410.2,600,477045.8,600,600,600,194940.6,324068.4,600,600,600,600,600,129546.8,445293.9,600,600,322137,600,600,600,600,600,600,600,558002.8,600,350490.9,600,600,600,600,600,600,745337.9,170700,600,600,600,277064.6,600,600,48037.94,600,600,600,600,600,600,600,379002.2,471198.5,1194997,531276.3,600,600,600,600,600,600,596877.8,600,600,600,600,600,600,664931,600,474056.2,456445.4,600,419846.4,600,600,600,600,669586.4,600,600,600,600,600,600,600,390843,600,600,600
877_3.366_262.0966,51499.61,46428.2,57436.67,102817.8,600,600,600,600,600,600,600,107623.6,53571.54,19054.04,600,10513.6,123349.3,600,91247.57,600,600,6893.438,600,45284.12,49959.09,600,13806.22,42973.32,600,23973.7,600,24020.84,600,15241.7,600,600,8349.991,40577.06,600,600,600,600,600,151850.3,600,600,61882.7,600,600,600,28442.19,57002.21,29547.08,600,58317.44,28254.21,24531.83,128051.8,41095.6,39983.73,600,600,116291.4,600,600,600,600,600,136072,600,600,600,600,600,600,600,600,108860.3,29903.18,56024.45,106360.5,600,127521.2,62203.39,56584.98,128998.8,600,600,600,7019.167,41788.06,8398.884,600,600,600,600,7882.559,22150.52,600,600,600,95429.07,78525.95,600,124867.7
878_9.606_262.169,600,260386.8,600,272856.4,600,600,600,233757.4,247016,118006.4,289494.8,600,295326.1,600,600,217257.9,266026.3,600,279510,600,600,600,600,600,307349.1,600,308835.5,283345.8,600,276497.1,600,600,270174.3,600,227816,267950.7,293522.5,254489.4,600,600,600,600,242796.3,284636.6,600,600,233789.6,243811.6,262908.8,600,281240.6,212592.7,600,600,600,600,239749.9,250801.4,600,600,600,600,600,600,600,600,264300.6,226506.3,221148.7,253557.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,137945.9,600,600,600,600,600,600,600,600,600,600,600,600
879_9.597_262.169,600,325416.8,600,330007.7,600,600,600,600,301127.2,600,600,312423.1,600,600,600,600,600,600,600,600,600,321327.4,600,600,600,329951,324000.9,360736.9,600,294563.9,600,600,600,312909.5,269704.1,284476.3,288753.6,276145.5,600,600,600,600,277359.2,232647.8,600,600,600,291384,287094.3,600,600,301172.9,600,600,600,600,600,260710.5,600,600,600,600,600,600,600,600,266455.6,248889.1,268318.3,165002.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
880_5.139_263.1522,203300.1,295062.5,266577.9,600,600,89500.68,600,81212.12,600,36879.9,600,600,600,97778.17,382374.9,144130.8,600,600,600,600,600,600,600,600,600,600,600,600,68234.66,600,600,600,132134.2,600,117903.3,54803.2,276730.8,251804.2,600,600,600,600,56010.18,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,59176.44,600,116473.9,305310.2,289197.1,600,600,25195.98,600,85704.81,600,600,600,600,600,73601.5,87034.74,49640.34,600,600,600,600,600,600,40773.36,600,600,600,600,600,600,600,600,600,45405.33,600,600
881_4.04_264.1473,54595.8,83764.63,74599.56,47342.14,600,600,41891.63,46612.02,75678.09,600,600,600,31893.04,58963.48,45737.89,94075.22,37389.11,600,600,30487.56,600,38864.89,70525.62,600,37142.77,600,40678.01,33695.47,600,76747.88,600,600,75516.79,31632.19,84864.25,42652.88,82249.01,68842.63,54981.6,600,600,600,52829.02,78869.46,600,600,43253.46,38112.88,55941.83,46504.64,63515.44,600,34956.7,600,36908.3,34377.52,32425.74,51481.09,600,31606.8,34809.19,600,30811.28,600,600,600,68837.43,36473.32,87275.32,69440.06,49685.13,80231.32,104943.7,60339.27,600,33059.65,39836.96,58191.61,59105.82,600,600,600,31131,62690.58,51417.55,84777.2,600,600,600,40582.1,31780.68,45223.92,85006.47,600,600,36241.98,55499.76,47583.01,600,600,600,58711.2,88103.62,85687.77,72864.69
882_3.957_266.1271,600,600,121369.4,94604.97,600,600,600,26620.67,37329.34,600,600,600,61863.82,90696.86,600,152766.4,44286.22,118344.2,600,600,600,97123.88,600,48874.14,75471.18,64742.37,25431.27,77810.54,600,116676,600,65625.95,141588.8,49148.02,170695.5,600,110278.9,46724.92,36806.38,600,44126.58,33413.98,600,600,57267.25,600,600,5223.875,91765.48,76870.06,19487.12,3892.791,117965.9,3826.876,56904.08,71003.57,62342.48,24993.16,600,55466.88,600,46354.89,79195.34,600,600,600,85921.09,74361.19,145901.6,145939,600,148885.1,5128.963,600,600,54106.93,37204.98,600,14830.62,67068.49,600,58367.62,61612.19,8072.809,96467.74,140921,80374.16,600,52710.99,21610.16,600,600,53343.52,600,84307.85,600,600,600,600,600,600,129756,140184.8,147861.4,146685.6
883_3.699_266.137,26760.43,600,600,600,92454.3,600,600,21007.66,600,600,600,600,22090.36,25733.75,31843.42,600,35840.77,600,600,600,600,600,600,600,4129.222,600,143012.7,600,138937,600,600,600,600,600,600,600,600,600,600,63836.06,600,600,600,600,600,600,600,600,26029.21,29838.56,600,30922.94,600,28945.07,5536.943,600,600,600,600,600,600,600,600,600,600,600,600,600,18069.99,21480.38,600,600,162545,160202.5,165807.4,165856.7,600,123760.5,600,600,39540.68,600,600,24742.75,35516.89,600,48793.6,4339.115,600,600,108296.4,600,2402.479,600,600,39574.05,600,600,114003.2,109863.6,20810.68,600,600,132883.4,600
884_10.716_266.1647,130428.5,133249.6,95448.52,108597.8,132847.6,84907.16,112173.9,60284.02,51528.37,68557.28,54583.63,54797.28,112766,48721.78,59514.35,57722.14,42055.88,99282.78,51713.86,155904.9,100915.8,106984.3,51904.01,58288.59,119148.4,44652.06,39610.24,47067.52,67341.5,56524.1,54327.61,44869.02,77621.49,46011.79,99608.11,92917.83,59996.63,151312,30731.63,97152.29,48455.82,239248.4,64553.74,32156.03,48762.3,44763.57,48714.06,37228.21,37627.46,30990.03,134962.5,87279.66,81865.46,42722.49,39484.75,39084.49,33937.39,31528.17,22771.39,54737.76,50274.93,42948.04,54370.91,34347.86,27264.45,22853.26,29545.62,31918.46,25406.67,33368.88,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
885_10.654_266.1648,1875707,875944.2,1901747,1414750,1848469,991255.6,986226,623936.6,541946,1002921,836730.3,468978.1,721274.8,1072763,931305.4,1844619,712363.9,1009406,822034.3,815918.9,981921.9,881869.6,852694.9,912536.5,1498333,652455.8,1268542,1752711,957202.8,678096.9,2306041,714827.3,1283001,699432.6,478012.9,782046.3,1101571,641974.9,431449.5,2293635,819723.8,1073782,979648.8,605239.4,627417.6,1230360,661525.2,628086.3,748559,540462.9,617995,805473.5,1258356,517075.8,1057070,837592.9,713274.4,713555.8,537712.1,599911.8,568190,678844.1,613805.7,605220.3,466226.7,409242.1,522576.7,392776.2,514169,775714.8,600,600,827606.1,736033.1,656576.1,461938.4,600,525671.9,464046.9,600,500869.2,600,600,417516,600,600,600,511829.6,413536.2,600,443584.8,447470.3,459157.2,437264,600,600,387379.3,448520.7,337091.5,349595.3,497764.8,416872.1,334352.2,388248.2,276516.1
